Material Symbols — Apache-2.0. https://fonts.google.com/icons
https://github.com/google/material-design-icons
SVG export: https://github.com/marella/material-symbols v0.47.2 (outlined, weight 400).
Rendered with rsvg-convert.

new             note_add
open            folder_open
save            save
cut             content_cut
copy            content_copy
paste           content_paste
undo            undo
redo            redo
search          search
filter          filter_list
settings        settings
preferences     tune
quit            logout
close           close
more            more_horiz
chevron-up      keyboard_arrow_up
chevron-down    keyboard_arrow_down
chevron-left    chevron_left
chevron-right   chevron_right
arrow-up        arrow_upward
arrow-down      arrow_downward
arrow-left      arrow_back
arrow-right     arrow_forward
mail            mail
mail-open       drafts
inbox           inbox
send            send
reply           reply
reply-all       reply_all
forward         forward
attach          attach_file
download        download
upload          upload
trash           delete
archive         archive
junk            report
tag             label
star            star
flag            flag
pen             ink_pen
pencil          stylus_pencil
compose         edit_note
fetch           download
sync            sync
folder          folder
folder-plus     create_new_folder
user            person
users           group
bell            notifications
bell-off        notifications_off
eye             visibility
eye-off         visibility_off
lock            lock
unlock          lock_open
check           check
x               close
plus            add
minus           remove
edit            edit
trash-2         delete
info            info
warning         warning
error           error
question        help
help            help
home            home
calendar        calendar_today
clock           schedule
link            link
external-link   open_in_new
list            list
layout          dashboard
columns         view_column
rows            table_rows
table           table_chart
cards           grid_view
sun             light_mode
moon            dark_mode
